2ndFlrSF,BsmtFinSF1,GarageArea,OverallQual,TotalBsmtSF
0.0,351,621,8,2217
0.0,1110,540,6,1844
772.0,0,380,6,799
0.0,0,577,7,1468
167.0,1249,529,5,1499
0.0,620,338,6,1240
902.0,20,578,8,866
0.0,75,299,5,1096
857.0,0,542,7,791
688.0,512,453,6,660
728.0,648,410,7,728
0.0,1277,319,5,1484
0.0,340,544,6,1682
785.0,0,389,6,808
0.0,650,288,5,1008
586.0,311,440,6,855
0.0,1400,866,8,1710
888.0,695,463,7,948
754.0,533,475,6,725
0.0,584,367,7,723
,554,426,7,654
0.0,1154,648,8,1520
0.0,210,308,5,980
850.0,0,753,8,1085
1357.0,482,750,8,1453
,986,696,8,1470
1169.0,443,480,5,1105
0.0,662,433,6,1261
0.0,637,480,5,1486
0.0,570,240,5,773
0.0,0,462,6,1319
913.0,0,546,7,866
0.0,569,0,4,950
0.0,659,420,6,848
596.0,0,198,6,780
729.0,381,440,6,729
0.0,0,0,4,440
729.0,419,440,6,729
0.0,762,440,5,864
833.0,0,427,7,832
0.0,1390,611,5,1390
0.0,600,576,4,864
761.0,0,512,6,528
0.0,1398,616,6,1606
612.0,0,528,6,612
0.0,308,288,5,928
720.0,0,0,4,0
809.0,16,546,7,728
708.0,404,776,6,708
846.0,546,736,8,1058
0.0,248,308,5,936
840.0,81,452,6,716
0.0,120,400,4,864
0.0,986,900,7,1654
0.0,0,576,5,816
1097.0,1163,856,8,1252
0.0,442,436,4,1067
584.0,0,539,6,0
0.0,0,420,7,1374
644.0,0,486,7,1195
