GarageArea,GarageYrBlt,GrLivArea,OverallQual,TotalBsmtSF
312,1960.0,1100,4,1100
264,1982.0,816,5,816
308,1959.0,1328,5,1350
842,2008.0,2296,10,1722
572,1957.0,864,5,864
453,2005.0,1266,7,1257
0,,858,4,858
506,1993.0,1710,6,832
264,1979.0,1123,4,732
460,1999.0,1647,6,953
288,1968.0,874,5,864
522,2001.0,1788,8,1753
416,1957.0,1839,6,1477
484,1976.0,1868,5,780
588,2005.0,1712,5,1626
462,1980.0,1229,6,561
890,2007.0,1600,8,1566
460,1997.0,1600,6,916
240,1936.0,1344,5,896
540,1977.0,1126,5,1126
264,1984.0,923,5,876
205,1921.0,616,5,616
0,,1800,5,1800
505,1953.0,1505,6,1505
621,1977.0,1647,5,1430
451,2005.0,1132,4,1132
470,1997.0,1764,6,928
240,1945.0,1529,4,0
336,1969.0,2447,6,804
457,2005.0,1504,7,1346
220,1955.0,1163,3,1162
440,2000.0,1525,6,756
288,1965.0,935,5,935
270,1932.0,813,6,813
230,1948.0,2008,5,896
514,1990.0,2329,7,1475
282,1950.0,1558,5,910
528,1976.0,1664,7,832
522,1968.0,2110,7,2110
684,1997.0,1786,6,824
336,1977.0,1475,5,757
256,1954.0,1387,5,811
380,2004.0,1708,7,976
440,1962.0,1734,6,912
520,1970.0,2414,5,954
493,1994.0,1908,7,915
506,1980.0,1283,5,931
573,2001.0,1212,7,1212
672,1978.0,1548,7,952
384,1967.0,980,5,980
470,1956.0,1811,6,1073
384,1966.0,1056,4,1056
484,2007.0,1234,8,1234
440,1970.0,1302,5,630
0,,1406,6,319
576,1983.0,858,5,858
736,2005.0,2324,9,1175
414,1953.0,910,5,105
442,1964.0,1611,6,780
400,2005.0,1560,6,684
630,1977.0,2020,5,0
582,2001.0,1338,8,1338
312,1962.0,1188,5,1188
527,2002.0,1459,7,1459
533,1996.0,2260,7,1306
605,2001.0,1430,7,1413
0,,996,5,996
504,1964.0,1092,6,1092
625,2006.0,1250,7,625
572,2004.0,1728,7,864
280,1981.0,924,5,924
530,1993.0,1199,6,1199
300,1968.0,948,5,948
429,1965.0,925,5,925
366,1920.0,835,5,458
610,2004.0,2466,8,1580
487,1966.0,2157,7,924
572,1976.0,1060,5,1040
804,2001.0,2633,10,2633
280,1922.0,1048,5,993
460,2000.0,1664,6,953
360,1950.0,784,6,784
473,1980.0,1279,6,1196
284,1956.0,1229,4,1134
244,1954.0,1268,5,1268
480,2007.0,1428,7,1428
352,1977.0,1125,6,1041
275,1954.0,1008,5,1008
860,2008.0,1630,8,1622
673,2003.0,1728,6,864
322,1968.0,1211,5,952
286,1959.0,1040,5,1040
511,1981.0,1707,8,1686
462,1998.0,1632,7,935
528,1957.0,1392,5,1392
270,1953.0,1319,5,608
390,2005.0,1484,6,742
300,1969.0,971,5,971
539,1976.0,1062,6,1029
0,,980,6,945
478,2003.0,1405,7,1405
472,2000.0,1671,6,959
495,1975.0,1074,5,1056
672,1979.0,2320,5,0
264,1979.0,918,6,918
528,1976.0,1437,5,1437
440,1977.0,1069,6,1069
441,1968.0,1556,6,727
510,2002.0,1894,7,817
895,2006.0,1973,8,1935
564,1961.0,2978,7,710
420,2004.0,848,6,848
400,1995.0,1474,7,384
260,1954.0,1056,5,1056
484,1983.0,902,5,864
564,1978.0,1032,6,1032
338,1920.0,1077,5,961
480,1961.0,1235,5,1235
719,1990.0,1442,7,910
264,1971.0,987,6,483
504,1977.0,1004,6,975
0,,1006,5,1006
0,,1716,5,780
565,2004.0,1720,7,860
308,1997.0,960,4,960
660,2006.0,1604,7,1604
621,1970.0,2217,8,2217
540,1969.0,1844,6,1844
380,1993.0,1571,6,799
577,1999.0,1479,7,1468
529,1965.0,1786,5,1499
338,1958.0,1632,6,1240
578,2007.0,1768,8,866
299,1969.0,1096,5,1096
542,1986.0,2093,7,791
453,1966.0,1348,6,660
410,2005.0,1456,7,728
319,1957.0,1600,5,1484
544,2003.0,1700,6,1682
389,1993.0,1593,6,808
288,1951.0,1363,5,1008
440,1978.0,1441,6,855
866,2007.0,1710,8,1710
463,1994.0,2110,7,948
475,1976.0,1479,6,725
367,1998.0,767,7,723
426,2006.0,1496,7,654
648,2006.0,1567,8,1520
308,1952.0,1148,5,980
753,2006.0,1970,8,1085
750,1990.0,2810,8,1453
696,1998.0,2630,8,1470
480,1960.0,2274,5,1105
433,1958.0,1261,6,1261
480,1968.0,1486,5,1486
240,1953.0,773,5,773
462,1962.0,1537,6,1319
546,1998.0,1779,7,866
0,,1225,4,950
420,2003.0,848,6,848
198,1937.0,1376,6,780
440,1999.0,1471,6,729
0,,869,4,440
440,1999.0,1458,6,729
440,1974.0,894,5,864
427,1998.0,1718,7,832
611,1975.0,1701,5,1390
576,1980.0,864,4,864
512,1976.0,1855,6,528
616,1986.0,1651,6,1606
528,2009.0,1224,6,612
288,1957.0,928,5,928
0,,1092,4,0
546,1925.0,1641,7,728
776,1968.0,1416,6,708
736,2003.0,1904,8,1058
308,1956.0,936,5,936
452,1980.0,1556,6,716
400,1951.0,864,4,864
900,2002.0,1654,7,1654
576,2007.0,1416,5,816
856,1999.0,2365,8,1252
436,1996.0,1067,4,1067
539,1978.0,1902,6,0
420,2003.0,1557,7,1374
486,1998.0,1839,7,1195
